Qty,Part Number,Component,Description
2,OSTTJ0211530 ,"MOTOR-A/MOTOR-B, V+/V-",Terminal block plugs
2,OSTOQ021251,"MOTOR-A/MOTOR-B, V+/V-",Terminal block sockets
1,LRMAM2512-R005FT4,RSENSE,Current sense resistor
4,IRFH7545TRPBF,"Q1, Q2, Q3, Q4",Motor driver MOSFETs
1,DRV8701ERGET,,Motor driver
1,CY8C4245PVI-482,,Microcontroller
5,CC0603KRX7R8BB105,"C1, C2, C4, C7, C8",SMD capacitors
4,CC0603KRX7R9BB104 ,"C3, C5, C6, C11",SMD capacitors
1,RC0603FR-0768KL,R6,SMD resistor
6,RC0603FR-07330RL,"R7, R8, R9, R10, R11, R12",SMD resistors
4,RC0603FR-131KL,"R1, R2, R3, R4",SMD resistors
2,EEU-FM1H181L ,"C9, C10",PTH capacitors
1,SML-D12M1WT86,VIN,Power on LED
1,SML-D12U1WT86,ERR,Error LED
1,B6B-PH-K-S(LF)(SN),,Shrouded header – 6 pin
2,B4B-PH-K-S(LF)(SN),,Shrouded header – 4 pin
